natural_key,date,time,province,temp,cloud_description,min_temp,max_temp,humidity,vision,wind_spd,uv_index,atmosphere_quality
HOABINH131020221900,13/10/2022,19:00,Hoà Bình,null,Bầu trời quang đãng,19,29,0.58,10 km,0.92 ,null
HOABINH131020222200,13/10/2022,22:00,Hoà Bình,null,Bầu trời quang đãng,19,29,0.61,10 km,1.39 ,null
HANOI121020222059,12/10/2022,20:59,Hà Nội,24,Mây thưa Cảm giác như 24°.,19,30,0.69,7 km,2.06 ,0,Rất kém
HANOI121020222100,12/10/2022,21:00,Hà Nội,null,Mây thưa,24,24,0.69,10 km,2.31 ,0
HANOI121020222200,12/10/2022,22:00,Hà Nội,null,Mây thưa,23,24,0.68,10 km,1.66 ,0
HANOI121020222300,12/10/2022,23:00,Hà Nội,null,Mây thưa,23,23,0.67,10 km,0.72 ,0
HANOI131020220100,13/10/2022,01:00,Hà Nội,null,Mây rải rác,19,30,0.63,10 km,0.61 ,null
HANOI131020220400,13/10/2022,04:00,Hà Nội,null,Nhiều mây,19,30,0.67,10 km,2.05 ,null
HANOI131020220700,13/10/2022,07:00,Hà Nội,null,Mây cụm,19,30,0.67,10 km,2.24 ,null
HANOI131020221000,13/10/2022,10:00,Hà Nội,null,Bầu trời quang đãng,19,30,0.38,10 km,2.81 ,null
HANOI131020221300,13/10/2022,13:00,Hà Nội,null,Bầu trời quang đãng,19,30,0.31,10 km,2.88 ,null
HANOI131020221600,13/10/2022,16:00,Hà Nội,null,Bầu trời quang đãng,19,30,0.36,10 km,2.55 ,null
HANOI131020221900,13/10/2022,19:00,Hà Nội,null,Bầu trời quang đãng,19,30,0.48,10 km,1.77 ,null
HANOI131020222200,13/10/2022,22:00,Hà Nội,null,Bầu trời quang đãng,19,30,0.55,10 km,1.45 ,null
VINHPHUC121020222059,12/10/2022,20:59,Vĩnh Phúc,24,Mây rải rác Cảm giác như 24°.,19,30,0.64,10 km,2.35 ,0,Rất kém
VINHPHUC121020222100,12/10/2022,21:00,Vĩnh Phúc,null,Mây rải rác,25,25,0.64,10 km,2.35 ,0
VINHPHUC121020222200,12/10/2022,22:00,Vĩnh Phúc,null,Mây rải rác,24,24,0.65,10 km,2.06 ,0
VINHPHUC121020222300,12/10/2022,23:00,Vĩnh Phúc,null,Mây rải rác,23,23,0.66,10 km,1.73 ,0
VINHPHUC131020220100,13/10/2022,01:00,Vĩnh Phúc,null,Mây rải rác,19,30,0.67,10 km,0.81 ,null
VINHPHUC131020220400,13/10/2022,04:00,Vĩnh Phúc,null,Mây cụm,19,30,0.68,10 km,1.14 ,null
VINHPHUC131020220700,13/10/2022,07:00,Vĩnh Phúc,null,Mây cụm,19,30,0.69,10 km,1.48 ,null
VINHPHUC131020221000,13/10/2022,10:00,Vĩnh Phúc,null,Bầu trời quang đãng,19,30,0.43,10 km,0.97 ,null
VINHPHUC131020221300,13/10/2022,13:00,Vĩnh Phúc,null,Bầu trời quang đãng,19,30,0.33,10 km,0.89 ,null
VINHPHUC131020221600,13/10/2022,16:00,Vĩnh Phúc,null,Bầu trời quang đãng,19,30,0.36,10 km,1.01 ,null
VINHPHUC131020221900,13/10/2022,19:00,Vĩnh Phúc,null,Bầu trời quang đãng,19,30,0.5,10 km,1.49 ,null
VINHPHUC131020222200,13/10/2022,22:00,Vĩnh Phúc,null,Bầu trời quang đãng,19,30,0.55,10 km,0.92 ,null
BACNINH121020222059,12/10/2022,20:59,Bắc Ninh,24,Mây thưa Cảm giác như 24°.,19,30,0.63,10 km,2.14 ,0,Rất kém
BACNINH121020222100,12/10/2022,21:00,Bắc Ninh,null,Mây thưa,24,24,0.63,10 km,2.14 ,0
BACNINH121020222200,12/10/2022,22:00,Bắc Ninh,null,Mây thưa,23,24,0.63,10 km,1.21 ,0
BACNINH121020222300,12/10/2022,23:00,Bắc Ninh,null,Mây thưa,23,23,0.63,10 km,0.38 ,0
BACNINH131020220100,13/10/2022,01:00,Bắc Ninh,null,Mây rải rác,19,30,0.64,10 km,1.71 ,null
BACNINH131020220400,13/10/2022,04:00,Bắc Ninh,null,Mây cụm,19,30,0.65,10 km,2.57 ,null
BACNINH131020220700,13/10/2022,07:00,Bắc Ninh,null,Mây cụm,19,30,0.65,10 km,2.59 ,null
BACNINH131020221000,13/10/2022,10:00,Bắc Ninh,null,Bầu trời quang đãng,19,30,0.39,10 km,3.27 ,null
BACNINH131020221300,13/10/2022,13:00,Bắc Ninh,null,Bầu trời quang đãng,19,30,0.32,10 km,2.94 ,null
BACNINH131020221600,13/10/2022,16:00,Bắc Ninh,null,Bầu trời quang đãng,19,30,0.37,10 km,2.64 ,null
BACNINH131020221900,13/10/2022,19:00,Bắc Ninh,null,Bầu trời quang đãng,19,30,0.49,10 km,2.7 ,null
BACNINH131020222200,13/10/2022,22:00,Bắc Ninh,null,Bầu trời quang đãng,19,30,0.57,10 km,1.05 ,null
HAIDUONG121020222059,12/10/2022,20:59,Hải Dương,24,Mây thưa Cảm giác như 24°.,18,29,0.64,10 km,2.41 ,0,Rất kém
HAIDUONG121020222100,12/10/2022,21:00,Hải Dương,null,Mây thưa,24,24,0.64,10 km,2.42 ,0
HAIDUONG121020222200,12/10/2022,22:00,Hải Dương,null,Mây thưa,23,23,0.63,10 km,1.95 ,0
HAIDUONG121020222300,12/10/2022,23:00,Hải Dương,null,Mây thưa,23,23,0.63,10 km,1.27 ,0
